evm.TU.Herato0101.1	Herato0101	6012	9164	-
evm.TU.Herato0101.2	Herato0101	20658	34124	+
evm.TU.Herato0101.3	Herato0101	37482	40921	+
evm.TU.Herato0101.4	Herato0101	42259	52078	+
evm.TU.Herato0101.5	Herato0101	52543	62117	+
evm.TU.Herato0101.6	Herato0101	63126	68601	-
novel_gene_1	Herato0101	63655	64578	+
evm.TU.Herato0101.7	Herato0101	69548	71087	-
evm.TU.Herato0101.8	Herato0101	138430	144438	+
evm.TU.Herato0101.9	Herato0101	192251	193802	+
evm.TU.Herato0101.10	Herato0101	349231	349551	+
evm.TU.Herato0101.11_evm.TU.Herato0101.13_evm.TU.Herato0101.13	Herato0101	404117	595513	+
evm.TU.Herato0101.12	Herato0101	420054	423724	+
evm.TU.Herato0101.14	Herato0101	597173	610082	-
evm.TU.Herato0101.15	Herato0101	638185	677508	-
evm.TU.Herato0101.16	Herato0101	680046	688951	-
evm.TU.Herato0101.17	Herato0101	714234	737489	-
evm.TU.Herato0101.18	Herato0101	740626	815031	-
evm.TU.Herato0101.19	Herato0101	931918	1115211	+
novel_gene_7	Herato0101	1042318	5570269	+
evm.TU.Herato0101.20	Herato0101	1214165	1216223	-
evm.TU.Herato0101.21	Herato0101	1218214	1230697	+
evm.TU.Herato0101.22	Herato0101	1237270	1238148	-
evm.TU.Herato0101.23	Herato0101	1241508	1269153	-
evm.TU.Herato0101.24	Herato0101	1253981	1261868	-
evm.TU.Herato0101.25	Herato0101	1261978	1262727	-
evm.TU.Herato0101.26	Herato0101	1303666	1312366	+
evm.TU.Herato0101.27	Herato0101	1319142	1324478	-
evm.TU.Herato0101.28	Herato0101	1325415	1327936	+
evm.TU.Herato0101.29	Herato0101	1347306	1383460	+
evm.TU.Herato0101.30	Herato0101	1386224	1388928	-
evm.TU.Herato0101.31	Herato0101	1389371	1395252	+
evm.TU.Herato0101.32	Herato0101	1397222	1404208	-
evm.TU.Herato0101.33	Herato0101	1405086	1422060	+
evm.TU.Herato0101.34	Herato0101	1451053	1465335	+
evm.TU.Herato0101.35	Herato0101	1474970	1511520	-
evm.TU.Herato0101.36	Herato0101	1518249	1523572	+
evm.TU.Herato0101.37	Herato0101	1529357	1534366	-
evm.TU.Herato0101.38	Herato0101	1534995	1542392	-
evm.TU.Herato0101.39	Herato0101	1542907	1619425	+
evm.TU.Herato0101.40	Herato0101	1625840	1690155	-
evm.TU.Herato0101.41	Herato0101	1652099	1661134	-
evm.TU.Herato0101.42	Herato0101	1692582	1693039	+
evm.TU.Herato0101.43	Herato0101	1697986	1841347	-
evm.TU.Herato0101.44	Herato0101	1842833	1856838	-
evm.TU.Herato0101.45	Herato0101	1857572	1864731	+
evm.TU.Herato0101.46	Herato0101	1869698	1918126	-
evm.TU.Herato0101.47	Herato0101	1920053	1921165	-
evm.TU.Herato0101.48	Herato0101	1960350	1978108	+
evm.TU.Herato0101.49	Herato0101	1983229	1995058	-
evm.TU.Herato0101.51_evm.TU.Herato0101.50	Herato0101	1997256	2106748	-
evm.TU.Herato0101.51	Herato0101	2073669	2106748	-
evm.TU.Herato0101.52	Herato0101	2140969	2153992	+
evm.TU.Herato0101.53	Herato0101	2155342	2159894	-
novel_gene_6	Herato0101	2160068	2166627	+
evm.TU.Herato0101.54	Herato0101	2167578	2183563	-
evm.TU.Herato0101.55	Herato0101	2183830	2186088	+
evm.TU.Herato0101.56	Herato0101	2187496	2189322	+
evm.TU.Herato0101.57	Herato0101	2192711	2197035	-
evm.TU.Herato0101.58	Herato0101	2197720	2203468	+
evm.TU.Herato0101.59	Herato0101	2208633	2217418	-
evm.TU.Herato0101.60	Herato0101	2217618	2225260	+
evm.TU.Herato0101.61	Herato0101	2228169	2241874	-
evm.TU.Herato0101.62	Herato0101	2243641	2251406	-
evm.TU.Herato0101.63	Herato0101	2253055	2253393	+
evm.TU.Herato0101.64	Herato0101	2261412	2278989	+
evm.TU.Herato0101.65	Herato0101	2300548	2307218	+
evm.TU.Herato0101.66	Herato0101	2308654	2309940	+
evm.TU.Herato0101.67	Herato0101	2314600	2350523	+
evm.TU.Herato0101.68	Herato0101	2382448	2445789	-
evm.TU.Herato0101.69	Herato0101	2419981	2438260	+
evm.TU.Herato0101.70	Herato0101	2650052	2651821	-
evm.TU.Herato0101.71_evm.TU.Herato0101.72	Herato0101	2651900	2689458	+
evm.TU.Herato0101.73	Herato0101	2693985	2703009	-
evm.TU.Herato0101.74	Herato0101	2704323	2708691	+
evm.TU.Herato0101.75	Herato0101	2710374	2723973	-
evm.TU.Herato0101.76	Herato0101	2725320	2742345	+
evm.TU.Herato0101.77	Herato0101	2744921	2751449	+
evm.TU.Herato0101.78	Herato0101	2752085	2754986	-
evm.TU.Herato0101.79	Herato0101	2755367	2770925	+
evm.TU.Herato0101.80	Herato0101	2771719	2777184	-
evm.TU.Herato0101.81	Herato0101	2777381	2779590	+
evm.TU.Herato0101.82	Herato0101	2780243	2782905	-
evm.TU.Herato0101.83	Herato0101	2783467	2787644	+
evm.TU.Herato0101.84	Herato0101	2794122	2813399	-
evm.TU.Herato0101.85	Herato0101	2813633	2820946	+
evm.TU.Herato0101.86	Herato0101	2821213	2824720	+
evm.TU.Herato0101.87	Herato0101	2824801	2826827	-
evm.TU.Herato0101.88	Herato0101	2828546	2829045	+
evm.TU.Herato0101.89	Herato0101	2841781	2843229	-
evm.TU.Herato0101.90	Herato0101	2843798	2846749	+
evm.TU.Herato0101.91	Herato0101	2847870	2852949	-
evm.TU.Herato0101.92	Herato0101	2853519	2858428	-
evm.TU.Herato0101.93	Herato0101	2896462	2967361	+
evm.TU.Herato0101.94	Herato0101	2974676	2983675	+
evm.TU.Herato0101.95	Herato0101	2984208	2986658	+
evm.TU.Herato0101.96	Herato0101	2988621	2990016	+
evm.TU.Herato0101.97	Herato0101	2991085	2991575	+
evm.TU.Herato0101.98	Herato0101	2993007	2995879	+
evm.TU.Herato0101.99	Herato0101	2996424	2998436	+
evm.TU.Herato0101.100	Herato0101	3000472	3001816	+
evm.TU.Herato0101.101	Herato0101	3003360	3051754	-
evm.TU.Herato0101.102	Herato0101	3066219	3073475	+
evm.TU.Herato0101.103	Herato0101	3080326	3085731	-
evm.TU.Herato0101.104	Herato0101	3085666	3097300	-
evm.TU.Herato0101.105	Herato0101	3116778	3279446	+
evm.TU.Herato0101.106	Herato0101	3229253	3237012	+
evm.TU.Herato0101.107	Herato0101	3282397	3288683	-
evm.TU.Herato0101.108	Herato0101	3294803	3296319	+
evm.TU.Herato0101.109	Herato0101	3304402	3305483	+
evm.TU.Herato0101.110	Herato0101	3306041	3306538	-
evm.TU.Herato0101.111	Herato0101	3308497	3309492	-
evm.TU.Herato0101.112	Herato0101	3309796	3319764	-
evm.TU.Herato0101.113	Herato0101	3324642	3326426	+
evm.TU.Herato0101.114	Herato0101	3329472	3347770	-
evm.TU.Herato0101.115	Herato0101	3392769	3472613	+
evm.TU.Herato0101.116	Herato0101	3661419	3667417	+
evm.TU.Herato0101.117	Herato0101	3697098	3763048	+
evm.TU.Herato0101.118	Herato0101	3864105	3870757	-
evm.TU.Herato0101.119	Herato0101	3952501	4015584	-
evm.TU.Herato0101.120	Herato0101	4091694	4094066	+
evm.TU.Herato0101.121	Herato0101	4095074	4176228	+
evm.TU.Herato0101.122	Herato0101	4182099	4192785	-
evm.TU.Herato0101.123	Herato0101	4194776	4202098	+
evm.TU.Herato0101.124	Herato0101	4203064	4209742	-
evm.TU.Herato0101.125	Herato0101	4203935	4205183	+
evm.TU.Herato0101.126	Herato0101	4214051	4216386	+
evm.TU.Herato0101.127	Herato0101	4219832	4224258	-
